epoch,train_err,val_err
1,0.08993333333333334,0.0369
2,0.056516666666666666,0.0288
3,0.042633333333333336,0.0199
4,0.03596666666666667,0.0194
5,0.033633333333333335,0.0226
6,0.031516666666666665,0.0169
7,0.02655,0.0144
8,0.02395,0.0132
9,0.024716666666666668,0.012
10,0.020516666666666666,0.0129
11,0.019883333333333333,0.0115
12,0.015083333333333334,0.0114
13,0.0218,0.0106
14,0.014716666666666666,0.0092
15,0.01275,0.0107
16,0.0114,0.0085
17,0.011233333333333333,0.009
18,0.010566666666666667,0.0081
19,0.0104,0.0072
20,0.010316666666666667,0.0063
